Question_ID,Product ID,Question Text
0,1,Will this keep a strong 6 year old out of my cabinets? He has special needs and feels that he can open my cabinets and dump whatever on the floor. I am looking for something that would prevent him to get in my cabinets.
1,1,What's the difference between this and the regular locking set (not the \'tot lok\' set)?
2,1,I have these locks on my cabinets and love them! Do they work on kitchen drawers?
3,1,Safety 1st Magnetic Tot Lok Deluxe Starter Set: Do these locks work on glass doors of the kitchen?
4,1,I seem to have misplaced my magnet.  Is there a way to buy just it.
5,2,does this have a high enough splash guard for
6,2,Are the two pieces made by hard plastic? No soft cushiony at all?
7,2,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?"
8,2,Is there a replacement white potty available to fit in this chair?
9,2,Is it good for girls?
10,2,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee?
11,2,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips?
12,2,How is this compared to summer infant or fischer price?
13,2,Does the seat remove & fit onto a regular toilet also?
14,3,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?
15,3,Would it work on a spiral stairway?
16,3,Would a cat be able to damage the netting with his claws (poke holes in it)?
17,3,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it.
18,3,"Would this product work for (townhome) railing going up the stairs to a second level, a gap in the bannister, and then stairs to a third level?"
19,3,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails."
20,3,How high is it?  will it fit a 3 foot high banister?
21,3,How do you secure the bottom of the net?
22,3,Does the 2 pk. as 10' mean two packs of 10' = 20' or just simply the 2pk. = 10'?
23,4,does it work with the symphony
24,4,What is the output current of this adapter?
25,4,"This says it works with a Pump instyle manufactured before 2008 - does it work with the Advanced model? purchased in 2009, so not sure when manufactured"
26,4,will this work on the pump in style adv
27,4,does it com in medela retail packaging? Not sure whether it is geniune part from medela or other brand that can be used with medela?
28,4,"ASIN B000058DPL, is it geniune part from Medela in Medela retail pac"
29,5,Does this come with medium flow nipples?
30,5,Do they fit in Dr. Brown bottle warmer?
31,5,Can we heat Playtex ventaire bottle in bottle warmer? Can we heat Playtex ventaire bottle in bottle warmer with milk in it?
32,5,Can I sanitise these bottles regularly in boiling hot water?
33,5,Are these new wide opening bottles or the standard bottles that r discontinued by playtex?
34,5,if I want pink bottles how do I place it on the order?
35,5,is it
36,5,CAn I get Boy Color?
37,5,Are these Playtex VentAire ADVANCED bottles or just Playtex Ventaire bottles?  Is there a difference?
38,5,how is this different than Dr. Brown bottles
39,6,Can this be also used for Playtex VentAire bottles?
40,6,Can you use these with the Playtex Nurser bottles and/or the Playtex Premium nurser bottles? Thx
41,7,How wide is the opening?  Does it work with Comotomo Bottles?  I think they are wider and shorter than traditional bottles.
42,7,Can you use this with breast milk?
43,7,Can I use baby bottle warmers for Playtex drop in liners system? I was wondering if anyone uses bottle armers for the pllaytex drop in systems?thanks
44,7,Is the timer silent when it is done? I need to have it at work.
45,7,Can a Tommee Tippee bottle fit into it?
46,7,Does anyone use this with the Playtex Dropin Nurser bottles and have good luck? we normal heat it by running under the facet but takes forever lol :p
47,7,what size batteries does it require?
48,7,Can it heat glass bottle?
49,8,Is this the older version that is circular and not oval?
50,8,Where is this product made?
51,8,Is the food grinder BPA free?
52,8,Is the strainer part stainless steel in addition to the cutter?
53,9,Is this treated with flame retardant chemicals?
54,9,anyone have a tummy sleeper? does the zipper dig into their bodies if they sleep on their tummy?
55,9,Hi!  Would this be considered the \'summer weight\' sleep sac option?  Or would this be too thick for the summer?
56,9,My granddaughter sleeps better with her arms and body swaddled but she is outgrowing her swaddles.  Could I zip up this sack with her arms inside?
57,9,Does this allow babies to roll over?  My little one is 7 months and rolls himself over before sleeping.
58,9,Is there much of a difference between the L and XL besides length? If I put my M size baby in a L or XL would there be a problem?
59,10,Does the seat have a crotch strap or is it just the waste strap?
60,10,toddler
61,10,Would you need a separate high chair for a baby or can you just use this chair?
62,10,"Is the red & white one, truly red or more burgundy like the picture online looks?"
63,10,is this ok for a small 2 yea
64,10,"Can you set it on the floor, place the baby (who can sit upright) in it and use it for playtime? We would be sitting right next to baby."
65,10,where is it made from?
66,10,at what size does your child \'out grow\' being able to use the plastic tray?
67,10,"Would it be OK to use it outside? On a deck table / chair? Will it be OK to get wet, etc?"
68,11,Has anyone had problems with the motor failing? We have only been using this swing for a few months sporatically and now the motor is junk.  It does not swing.  Has anyone else experienced this same problem?
69,11,"Which models have AC power adapter? The way seemingly different swings are all presented under the same heading is confusing.  According to the descriptions of the different \'styles\' the blue one with the stars is the only one with the AC option.  When I visit other websites, sometimes the butterfly one has this option, too.  Is that true here?Update:After confirming that the model number matched the manufacturer listing for a swing with the option to plug it in, I took a chance and ordered the butterfly swing.  It does indeed come with an ac adapter, so the Amazon description claiming that it required batteries is in error."
70,11,"25 pound weight limit accurate? Hi,I am looking for a baby swing form my 7 month old since he has been in one before and loved it. My problem is, he is a larger baby, weighing 21 pounds right now so I don't want to buy a swing if it will only last a couple of months. Do you think the weight limit of 25 pounds is accurate? Has anybody tried this swing with a larger baby?Thanks!"
71,11,"Battery Life? I was looking at getting the fisher price cradle swing, and I was wondering how long the batteries last?  An estimate will help me decide between different models."
72,11,Short waist belt straps Does anyone have a problem with the waist belt straps being too short? I loosened the belt all the way and I still can't buckle up my kid ... he is only 12 lbs. It seems a bit tight already when we got it a few weeks ago when he was only 10lbs.
73,11,Papasan Cradle Swing Are there replacement cushions available to buy seperately?
74,12,How Tall is this gate and can it extend to 108 inches?
75,12,Does this gate bend? I need a gate that bends around curved stairs
76,12,How small can this gate get? The descption says 28\' wide in one paragraph and 60\' wide in the next.
77,12,Can this be used outdoors on a deck?
78,12,From all I can see this gate does not swing open....why then do they call it an \'Extra Wide Swing Gate\'?
79,12,Will this hate hold up to an 11 month old who is trying to walk?
80,12,"Can it be installed between two cement walls? Cement block construction, corner pillars solid cement, stucco over it. Would I need bigger screws?"
81,12,Can it fit unparallel walls?
82,12,Will this gate hold a medium-sized dog (~40 lbs.) and an active toddler?
83,13,Are lansinoh storage bags compatible with this bottle?
84,13,Do the 4oz liners expand if you fill them with more than 4oz of milk?
85,13,Slow nipples are included?
86,13,Can you use the 4oz drop-ins with the 8oz bottles?
87,13,Can you heat these in a bottle warmer or will it melt the liner?
88,13,Do all the colors come in the new angled version? Thank you!
89,13,hi! can you use 8 oz drop ins  with the 4 oz bottles? what would be the drawback?
90,13,I am unclear how exactly I can heat up the content in the drop-in liner whether it is formula or cold breastmilk? Can you use bottle warmer?
91,13,I currently use the Ventaire system. After a few months of use they now leak out of the bottom no matter how carefully I assemble them. Do these leak?
92,14,can you make this into a
93,14,What exactly are they?
94,14,I want to know what they are for I thought something different
95,14,Is there a way to get all styles and colors pictured?
96,14,"are they made of glass of plastic?  If plastic , is it impact resistant ?"
97,14,how many boilers do i get with my order it shows four on the picture but the details do not say if i get all four or just one it only says \'colors may vary\'and again this question is regarding the Westminster Hand Boilers  Thanks
98,14,"My kids got a red and a blue boiler for Christmas, was wondering if there was a way to request a green and a p"
99,14,does this one come as a set of all four or do I have to get them seperate
100,14,"This  is listed in the baby section, are you sure that's a good"
101,15,Do you have to use the screw in wall cups?  I have to use it between two cupboards at the start of my kitchen. I don't want to screw into/damage wood
102,15,"Can a 4-yr old open this gate easily?  I want to keep the baby from falling down the stairs, but allow toddlers through easily."
103,15,I would like to mount this gate to the top of our stairs. One side is wall and the other side is bannister. The Kidco spindles don't fit it. Help?
104,15,What is the distance between bars?
105,15,Can this be installed at the top of the stairs?
106,15,Does it close automatically?
107,15,I have wide gap in the gate ... not sure how to fix the gate ...
108,15,can this gate be solid mounted at an 
109,16,I am looking for the one that has a 3-1/4\' arm that will work with my flush mounted cabinets.  The standard ones aren't long enough for me
110,16,Is this lock visible from the outside of the cabinet?
111,17,What year was this product made in? I just want to check it is a newer version since the 2010 recall of this product.
112,17,can baby be placed forward or only toward the person carrying her/him?
113,18,Has anyone travelled internationlly with this stroller?did it fit in the overhead compartment? Would this work for a 12 month old?weight capacity?
114,18,does stroller come with rain cover? 
115,18,Will my tall toddlers feet drag on the ground?
