Prod_ID,Ques_ID,Question_Text,Ans_Text
1,0,Will this keep a strong 6 year old out of my cabinets? He has special needs and feels that he can open my cabinets and dump whatever on the floor. I am looking for something that would prevent him to get in my cabinets.,"It probably will...  it's pretty good and much better than those locks for drawers you can buy at baby stores.  But it's still plastic so depending on how strong he is, he might break it.  You'll also need to keep the magnetic key away from him as he'll see you using it and likely learn.  My 3 year old tries but he doesn't know the exact spot to put the key to unlock the door.  Overall after trying several locks for cabinet doors this was the best in my opinion.  But also the hardest to install so as long as you plan and execute well according to instructions it will be fine."
1,1,What's the difference between this and the regular locking set (not the \'tot lok\' set)?,The size of the locking mechanism. I bought these so they could be used with the drawers in my kitchen--the other one I looked at wouldn't fit my drawers.
1,2,I have these locks on my cabinets and love them! Do they work on kitchen drawers?,"Yes, I have them in cabinets and drawers. They work exactly the same as the doors"
1,3,Safety 1st Magnetic Tot Lok Deluxe Starter Set: Do these locks work on glass doors of the kitchen?,You must have some type of wood or some other way to affix the locks to your cabinetry. You might be able to with some very strong adhesive but screwing into wood is perhaps the best
1,4,I seem to have misplaced my magnet.  Is there a way to buy just it.,Yes you can buy just the tot lok magnet key Safety 1st Tot-Lok Magnetic Key (Discontinued by Manufacturer)
2,5,does this have a high enough splash guard for,"No, My grandson constantly goes over the top or when he is dead on target it goes around the splash guard and over the sides.  Needs to be higher and wider."
2,6,Are the two pieces made by hard plastic? No soft cushiony at all?,"Yes, both pieces are made of hard plastic. There are no soft, cushiony parts."
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",Could be? Not sure... It's a bit odd but I'm thinking it's to splash back instead of it peeling out for boys? My daughter hasn't used it
2,8,Is there a replacement white potty available to fit in this chair?,"I haven't had to replace the potty insert, but here is Baby Bjorn's Customer Service contact #. (866) 424-0200"
2,9,Is it good for girls?,"I am currently using it to potty train my boy (10-month-old). He likes to sit on it and gestures when he is done and wants to be picked up. As for girls, I would assume it should also be OK to use. The chair is deep enough and the front end does not touch the baby (unless he really pushes himself to the front of the chair). That said, you shouldn't have to worry about any germs from the babies touching the plastic. Additionally, it is really easy to clean, the plastic part comes out easily and we \'decontaminate\' it with 10% beach every couple of days just in case."
2,10,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee?,It doesn't stain if you wipe it out with something soft. DON'T use bleach (it reacts with the pee and creates a hard crust that doesn't come off) and DON'T use anything scrubby or abrasive (it will create a scratched surface that will stain and be hard to clean). As long as you use soft wipes it will clean easily for a long time.
2,11,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips?,"Its definitely sturdy. My 2 yr old is pretty comfortable and he is average size. It may work, you can always return it once you get it if your 5 yr old is too big. I agree its better than other options on the road. My 2 year hold sits on it sometimes 30 minutes reading books."
2,12,How is this compared to summer infant or fischer price?,"We used this and the fisher price. The fisher price potty was uncomfortable for my child (18 months at the time) to sit on. The splash guard is wider, forcing her legs apart more than was comfy for her. My child likes leaning back on the babybjorn, which she could not do with the fisher price one. The babybjorn potty is very versatile, my baby used it from 6 months and still likes it at 5 years even though she has long been potty trained."
2,13,Does the seat remove & fit onto a regular toilet also?,No
3,14,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,I used it on a staircase.  It was just fine.
3,15,Would it work on a spiral stairway?,I think it would. The material is very pliable and easily manuevered. Hope this helps!
3,16,Would a cat be able to damage the netting with his claws (poke holes in it)?,A cat would get their nails caught in it and rip it to shreds!
3,17,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it.,It's the height of a standard banister. Not sure that it would work for a German Shepherd. It's just netting.
3,18,"Would this product work for (townhome) railing going up the stairs to a second level, a gap in the bannister, and then stairs to a third level?","As the photo shows, it must attach to the top rail.  Since it is netting, it is flexible.  Don't know if this answers your question or not."
3,19,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails.","You'd really need to check measurements. I think it would be plenty tall for a chihuhua, but if the perimeter of your balcony is around 10 ft or more, it might not be enough to wrap."
3,20,How high is it?  will it fit a 3 foot high banister?,"Thank you for asking about one of our products. The Rail Net is 3 foot tall. It should work fine for your banister. If I can answer any other questions, please let me know."
3,21,How do you secure the bottom of the net?,"There are strings to attach the top, bottom,  and sides"
3,22,Does the 2 pk. as 10' mean two packs of 10' = 20' or just simply the 2pk. = 10'?,2 pk @ 10 each equaling 20 feet.  We had an over lap but were able to work it in with no problem.
4,23,does it work with the symphony,"I just called the customer service line, and the 12 Volt is compatible with the Symphony. It's Medela item # 67173 for reference."
4,24,is this usable in my car?,Yes this product is very useful and can be used in car
4,25,What is the output current of this adapter?,12 volt D.C
4,26,"This says it works with a Pump instyle manufactured before 2008 - does it work with the Advanced model? purchased in 2009, so not sure when manufactured","it worked with mine, not sure when it was manufactured, but I know it was before 2008"
4,27,will this work on the pump in style adv,"Yes, that is what I use it for."
4,28,does it com in medela retail packaging? Not sure whether it is geniune part from medela or other brand that can be used with medela?,Mine says Medela directly on it.  Not sure if that helps.  I can't remember what the packaging says.
4,29,"ASIN B000058DPL, is it geniune part from Medela in Medela retail pac",It is a Medela brand item.
5,30,Does this come with medium flow nipples?,No it comes with the slowest flow
5,31,Do they fit in Dr. Brown bottle warmer?,"They fit in the warmer I have, I am not certain I have the Dr. brown warmer though."
5,32,Can we heat Playtex ventaire bottle in bottle warmer? Can we heat Playtex ventaire bottle in bottle warmer with milk in it?,"Yes, I warm mine on the Avent bottle warmer and it works fine as long as i fill the warmer with water up to the top (so it doesnt warm just the thick bottom of the bottle."
5,33,Can I sanitise these bottles regularly in boiling hot water?,Nipples and vents can be boiled once a week for 5 minutes.  It says do not place bottle in boiling water for heating milk.  Upper rack of dishwasher in dry cycle recommended or hand wash in soapy water 1 minute.  This is per the written instructions included in the box.
5,34,Are these new wide opening bottles or the standard bottles that r discontinued by playtex?,The standard discontinued ones. They are my favorite and harder to find now.
5,35,if I want pink bottles how do I place it on the order?,"They won't sent you your requested color. I tried contacting Amazon after placing my order to request the bottles in pink. I just got run-around, then received bottles that were not the color I requested. You're better off buying them from BRU or Target if you want a specific color."
5,36,is it,"No its narrow, a baby can hold it"
5,37,CAn I get Boy Color?,No
5,38,Are these Playtex VentAire ADVANCED bottles or just Playtex Ventaire bottles?  Is there a difference?,I don't know. But they are the best bottles I've ever used.
5,39,how is this different than Dr. Brown bottles,"I've never used Dr Brown, but from what I know about them these are easier to disassemble and clean because there aren't as many parts."
6,40,Can this be also used for Playtex VentAire bottles?,"This is what the playtex website said:Can the Playtex\u00ae Nurser NaturaLatch\u00ae nipples be used with these bottles?Yes, Playtex\u00ae Nurser NaturaLatch\u00ae latex and silicone nipples can be used with the VentAire\u00ae wide bottles. For standard VentAire\u00ae bottles, you must use the VentAire\u00ae Standard nipples.Hope that helps.  I don't use ventaire so I can't really answer."
6,41,Can you use these with the Playtex Nurser bottles and/or the Playtex Premium nurser bottles? Thx,These are compatible with all playtex bottles
7,42,How wide is the opening?  Does it work with Comotomo Bottles?  I think they are wider and shorter than traditional bottles.,To be honest in not sure about the comoto bottles but the Tommy Tippee ones are very wide and this bottle warmer fits it.
7,43,Can you use this with breast milk?,"I don't think it would make a difference if it was breast milk or formula. But honestly I think this is a waste of money, it takes way too long to heat up, it would be quicker to hold bottle under hot running water! I regretted this purchase."
7,44,Can I use baby bottle warmers for Playtex drop in liners system? I was wondering if anyone uses bottle armers for the pllaytex drop in systems?thanks,"My 18 month old son isn't using them for milk anymore, just water at bedtime, but when he was, we would warm them.  We have an earlier version of this: The First Years Night Cravings Bottle Warmer & Cooler, Blue/WhiteI don't know how others work, but with ours, you add a specific amount of water based on the amount of liquid to heat.  This in effect, decreased the warming time substantially with the drop in liners, and we also used them with pumping bags that held milk that we then poured into the liners.  We used approximately 1/4 the amount of water it said to use for the size for frozen breastmilk to warm it, and about 1/8 for milk from the fridge.  You might try testing it out a bit with some milk to see how it works.  Eventually, we went to running the bottle of whole milk under hot water from the tap while swirling it around or putting it in a bowl of hot water (but the warmer was easier at first), and finally our son accepted it at the fridge temp.  When we wanted to transition off the bottle of milk at bedtime, we started adding water to it, and then eventually went to just water.  Now the only time he gets a bottle is at bedtime, and only with water.  The rest of the time, he drinks water from the sippy cup, and juice or milk from a little plastic cup at the table."
7,45,Is the timer silent when it is done? I need to have it at work.,There is a very faint click when it is done warming. The light on the switch also goes out when it is done.
7,46,Can a Tommee Tippee bottle fit into it?,"I've never used one but from the pictures i see on the website, it looks like it would fit. The bottle warmer is pretty wide u could drop a baseball in there if that gives u an idea of how big around it is haha."
7,47,Does anyone use this with the Playtex Dropin Nurser bottles and have good luck? we normal heat it by running under the facet but takes forever lol :p,"Well, we don't use those BUT we use glass bottles and we were also using running water or we would heat up our kettle.  This warmer has saved us SO much time.  It's fast!  Only thing is, if left in for too long, it will get really hot, so just follow the directions and it will work like a charm for you."
7,48,what size batteries does it require?,None. 1 button and a plug.
7,49,Can it heat glass bottle?,"Yes, glass baby food jars also"
8,50,Is this the older version that is circular and not oval?,I ordered it a while back and mine is oval-ish. Not the circular ones.
8,51,Where is this product made?,China
8,52,Is the food grinder BPA free?,"It is stated on the box, \'BPA and Phthalate FREE\'."
8,53,Is the strainer part stainless steel in addition to the cutter?,"I gave this to my sister....  FINALLY remembered to ask... she says, Yes, the part with the holes (\'strainer\') is metal too."
9,54,Is this treated with flame retardant chemicals?,The smaller sizes are not treated w/flame retardants.  Polyester is a natural flame retardant w/o using chemicals.  Hope this helps.
9,55,anyone have a tummy sleeper? does the zipper dig into their bodies if they sleep on their tummy?,"I don't have a tummy sleeper, but if the zipper is zipped up, the pull is at the very bottom of the sack, probably lower than the feet unless the bag is really small for your baby. At that location, I don't think your baby will have a lot of weight to put on the zipper pull (and causing the dig). As for the zipper itself, it is pretty flat so I don't think it will be a problem.Just a reminder that if your baby is less than 6 month old, he or she should be sleeping on the back all the time to reduce the chance of SIDS."
9,56,Hi!  Would this be considered the \'summer weight\' sleep sac option?  Or would this be too thick for the summer?,"I plan to use ours in the summer, with onesies underneath. :) I wouldn't consider it too thick."
9,57,My granddaughter sleeps better with her arms and body swaddled but she is outgrowing her swaddles.  Could I zip up this sack with her arms inside?,Technically yes but this sleep sack is loose so her arms would be free to move and likely tangled in the arm holes.  I wouldn't recommend it.
