Prod_ID,Ques_ID,Question Text,Ans_ID,Ans_Text,Q_A
1,0,Will this keep a strong 6 year old out of my cabinets? He has special needs and feels that he can open my cabinets and dump whatever on the floor. I am looking for something that would prevent him to get in my cabinets.,0,"Yes, the locks will keep adults out too.  My huband installed the locks and, as other reviewers stated, they can be a pain to install.  Very important to remember: KEEP TRACK OF THE MAGNETIC KEY!!! Or, buy an extra one.  We found out that our key did work even though it was melted a little (was left on top of hot stove for a few minutes).All-in-all, I believe these locks were well worth the money.","Will this keep a strong 6 year old out of my cabinets? He has special needs and feels that he can open my cabinets and dump whatever on the floor. I am looking for something that would prevent him to get in my cabinets. Yes, the locks will keep adults out too.  My huband installed the locks and, as other reviewers stated, they can be a pain to install.  Very important to remember: KEEP TRACK OF THE MAGNETIC KEY!!! Or, buy an extra one.  We found out that our key did work even though it was melted a little (was left on top of hot stove for a few minutes).All-in-all, I believe these locks were well worth the money."
1,0,Will this keep a strong 6 year old out of my cabinets? He has special needs and feels that he can open my cabinets and dump whatever on the floor. I am looking for something that would prevent him to get in my cabinets.,1,Yes if you install it correctly.  a lot of folks don't bother to pre drill and set the screws correctly.,Will this keep a strong 6 year old out of my cabinets? He has special needs and feels that he can open my cabinets and dump whatever on the floor. I am looking for something that would prevent him to get in my cabinets. Yes if you install it correctly.  a lot of folks don't bother to pre drill and set the screws correctly.
1,0,Will this keep a strong 6 year old out of my cabinets? He has special needs and feels that he can open my cabinets and dump whatever on the floor. I am looking for something that would prevent him to get in my cabinets.,2,"It probably will...  it's pretty good and much better than those locks for drawers you can buy at baby stores.  But it's still plastic so depending on how strong he is, he might break it.  You'll also need to keep the magnetic key away from him as he'll see you using it and likely learn.  My 3 year old tries but he doesn't know the exact spot to put the key to unlock the door.  Overall after trying several locks for cabinet doors this was the best in my opinion.  But also the hardest to install so as long as you plan and execute well according to instructions it will be fine.","Will this keep a strong 6 year old out of my cabinets? He has special needs and feels that he can open my cabinets and dump whatever on the floor. I am looking for something that would prevent him to get in my cabinets. It probably will...  it's pretty good and much better than those locks for drawers you can buy at baby stores.  But it's still plastic so depending on how strong he is, he might break it.  You'll also need to keep the magnetic key away from him as he'll see you using it and likely learn.  My 3 year old tries but he doesn't know the exact spot to put the key to unlock the door.  Overall after trying several locks for cabinet doors this was the best in my opinion.  But also the hardest to install so as long as you plan and execute well according to instructions it will be fine."
1,1,What's the difference between this and the regular locking set (not the \'tot lok\' set)?,3,The size of the locking mechanism. I bought these so they could be used with the drawers in my kitchen--the other one I looked at wouldn't fit my drawers.,What's the difference between this and the regular locking set (not the \'tot lok\' set)? The size of the locking mechanism. I bought these so they could be used with the drawers in my kitchen--the other one I looked at wouldn't fit my drawers.
1,1,What's the difference between this and the regular locking set (not the \'tot lok\' set)?,4,The locking mechanism unlocks with the magnet .,What's the difference between this and the regular locking set (not the \'tot lok\' set)? The locking mechanism unlocks with the magnet .
1,2,I have these locks on my cabinets and love them! Do they work on kitchen drawers?,5,"Yes, I have them in cabinets and drawers. They work exactly the same as the doors","I have these locks on my cabinets and love them! Do they work on kitchen drawers? Yes, I have them in cabinets and drawers. They work exactly the same as the doors"
1,2,I have these locks on my cabinets and love them! Do they work on kitchen drawers?,6,Yes. They install on drawers just like on doors.,I have these locks on my cabinets and love them! Do they work on kitchen drawers? Yes. They install on drawers just like on doors.
1,3,Safety 1st Magnetic Tot Lok Deluxe Starter Set: Do these locks work on glass doors of the kitchen?,7,You must have some type of wood or some other way to affix the locks to your cabinetry. You might be able to with some very strong adhesive but screwing into wood is perhaps the best,Safety 1st Magnetic Tot Lok Deluxe Starter Set: Do these locks work on glass doors of the kitchen? You must have some type of wood or some other way to affix the locks to your cabinetry. You might be able to with some very strong adhesive but screwing into wood is perhaps the best
1,3,Safety 1st Magnetic Tot Lok Deluxe Starter Set: Do these locks work on glass doors of the kitchen?,8,"Unless the doors have a wooden frame (not too thick, ideal about 1 inch), don't think these will work","Safety 1st Magnetic Tot Lok Deluxe Starter Set: Do these locks work on glass doors of the kitchen? Unless the doors have a wooden frame (not too thick, ideal about 1 inch), don't think these will work"
1,4,I seem to have misplaced my magnet.  Is there a way to buy just it.,9,"Any decent magnet from Radio Shack will work.  I glued one to a locket sized frame that was stuck to the fridge when it wasn't being used.  However, Amazon sells a replacement if you want to keep it original: Safety 1st Magnetic Locking System Key","I seem to have misplaced my magnet.  Is there a way to buy just it. Any decent magnet from Radio Shack will work.  I glued one to a locket sized frame that was stuck to the fridge when it wasn't being used.  However, Amazon sells a replacement if you want to keep it original: Safety 1st Magnetic Locking System Key"
1,4,I seem to have misplaced my magnet.  Is there a way to buy just it.,10,Yes you can buy just the tot lok magnet key Safety 1st Tot-Lok Magnetic Key (Discontinued by Manufacturer),I seem to have misplaced my magnet.  Is there a way to buy just it. Yes you can buy just the tot lok magnet key Safety 1st Tot-Lok Magnetic Key (Discontinued by Manufacturer)
2,5,does this have a high enough splash guard for,11,It worked well for our grandson - no problems.,does this have a high enough splash guard for It worked well for our grandson - no problems.
2,5,does this have a high enough splash guard for,12,I think so.  My grandson uses it and we haven't had any accidents yet.,does this have a high enough splash guard for I think so.  My grandson uses it and we haven't had any accidents yet.
2,5,does this have a high enough splash guard for,13,"No, My grandson constantly goes over the top or when he is dead on target it goes around the splash guard and over the sides.  Needs to be higher and wider.","does this have a high enough splash guard for No, My grandson constantly goes over the top or when he is dead on target it goes around the splash guard and over the sides.  Needs to be higher and wider."
2,5,does this have a high enough splash guard for,14,"Yes, this is the best splash guard we've used in a little potty -- and also important, toddlers can easily climb on and off the seat themselves.  We did reinforce a \'lean forward\' suggestion just to make sure (for general potty usage)","does this have a high enough splash guard for Yes, this is the best splash guard we've used in a little potty -- and also important, toddlers can easily climb on and off the seat themselves.  We did reinforce a \'lean forward\' suggestion just to make sure (for general potty usage)"
2,6,Are the two pieces made by hard plastic? No soft cushiony at all?,15,"Yes, both pieces are made of hard plastic. There are no soft, cushiony parts.","Are the two pieces made by hard plastic? No soft cushiony at all? Yes, both pieces are made of hard plastic. There are no soft, cushiony parts."
2,6,Are the two pieces made by hard plastic? No soft cushiony at all?,16,The potty chair is hard plastic (both pieces).  There is soft small trim on the bottom to keep the from slipping.  FANTASTIC design for ease of use and cleaning.,Are the two pieces made by hard plastic? No soft cushiony at all? The potty chair is hard plastic (both pieces).  There is soft small trim on the bottom to keep the from slipping.  FANTASTIC design for ease of use and cleaning.
2,6,Are the two pieces made by hard plastic? No soft cushiony at all?,17,"Yes, but very roomy and comfortable.","Are the two pieces made by hard plastic? No soft cushiony at all? Yes, but very roomy and comfortable."
2,6,Are the two pieces made by hard plastic? No soft cushiony at all?,18,All hard plastic. No soft cushion.,Are the two pieces made by hard plastic? No soft cushiony at all? All hard plastic. No soft cushion.
2,6,Are the two pieces made by hard plastic? No soft cushiony at all?,19,Just hard plastic.,Are the two pieces made by hard plastic? No soft cushiony at all? Just hard plastic.
2,6,Are the two pieces made by hard plastic? No soft cushiony at all?,20,"They are both hard plastic, but the shape fits perfectly .","Are the two pieces made by hard plastic? No soft cushiony at all? They are both hard plastic, but the shape fits perfectly ."
2,6,Are the two pieces made by hard plastic? No soft cushiony at all?,21,"No cushion, but it is ergonomic and more importantly, easy to keep clean.  My toddler loves these seats.","Are the two pieces made by hard plastic? No soft cushiony at all? No cushion, but it is ergonomic and more importantly, easy to keep clean.  My toddler loves these seats."
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",22,"I'm not sure, but I find the splash guard makes it hard for my 16mo old to sit on,  like an obstacle.   I have a boy so I need it, but he really struggles with that extra lip on front.","My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls? I'm not sure, but I find the splash guard makes it hard for my 16mo old to sit on,  like an obstacle.   I have a boy so I need it, but he really struggles with that extra lip on front."
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",23,I don't think it would be.  I can see them using it to push off for standing.  But don't think it would hurt or hinder a girl.,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls? I don't think it would be.  I can see them using it to push off for standing.  But don't think it would hurt or hinder a girl."
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",24,Could be? Not sure... It's a bit odd but I'm thinking it's to splash back instead of it peeling out for boys? My daughter hasn't used it,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls? Could be? Not sure... It's a bit odd but I'm thinking it's to splash back instead of it peeling out for boys? My daughter hasn't used it"
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",25,"No, thankfully the way they sit down they clear that part. Since there isn't water in it, like an adult toilet, I believe it also serves as a splash guard.","My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls? No, thankfully the way they sit down they clear that part. Since there isn't water in it, like an adult toilet, I believe it also serves as a splash guard."
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",26,I am not,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls? I am not"
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",27,No not at all our daughter never had an issue with it. All it really is is a somewhat raised smooth plastic hump in the front it's not in their way or on them or anything. Our daughter is five and a half 40 pounds and 39\' tall and she still uses it with no problem if we are on a road trip and she has to go on the side of the road or when she's at her grandparent's house because they only have one bathroom and she might need to go while someone is in there so it should work perfectly for your little one too. This is the best potty ever by the way!,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls? No not at all our daughter never had an issue with it. All it really is is a somewhat raised smooth plastic hump in the front it's not in their way or on them or anything. Our daughter is five and a half 40 pounds and 39\' tall and she still uses it with no problem if we are on a road trip and she has to go on the side of the road or when she's at her grandparent's house because they only have one bathroom and she might need to go while someone is in there so it should work perfectly for your little one too. This is the best potty ever by the way!"
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",28,The splash guard doesn't seem to be a problem at all. My daughter has used the potty as well. It is comfortable for her as well and the splash guard doesn't get \'in the way.\',"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls? The splash guard doesn't seem to be a problem at all. My daughter has used the potty as well. It is comfortable for her as well and the splash guard doesn't get \'in the way.\'"
2,7,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls?",29,Not at all. It was less of a problem than some other potties we tried. Especially the Fisher Price frog - our daughter had a hard time with that one.,"My daughter is 17 months old (24lbs, 30\' tall) & am wondering if the splash guard is problematic for little girls? Not at all. It was less of a problem than some other potties we tried. Especially the Fisher Price frog - our daughter had a hard time with that one."
